name,popularity
hubot-steps,280
pipeline-agent-build-history,280
database-sqlserver,279
gearman-plugin,278
NegotiateSSO,273
dos-trigger,273
grypescanner,270
jslint,270
generic-event,269
lastsuccessversioncolumn,269
lenientshutdown,269
mailcommander,269
teams-webhook-trigger,269
crap4j,268
mock-slave,267
validating-email-parameter,267
xfpanel,267
sqlserver-api,266
metrics-graphite,265
BlameSubversion,264
backlog,264
jackson-databind,262
jobtag,262
gitflow,260
muuri-api,260
project-health-report,260
semantic-versioning-plugin,259
42crunch-security-audit,257
nomad,256
azure-function,255
zephyr-enterprise-test-management,254
junit-sql-storage,253
audit2db,252
aws-lambda-cloud,251
jenkins-flowdock-plugin,249
build-alias-setter,248
deployer-framework,248
google-cloudbuild,248
BlazeMeterJenkinsPlugin,247
artifact-diff-plugin,247
influxdb-query,247
pull-request-monitoring,247
thucydides,246
vectorcast-execution,246
keyboard-shortcuts-plugin,245
coordinator,244
network-monitor,242
servicenow-devops,242
aws-sqs-trigger,240
parameter-pool,240
selenium-axis,239
chatwork,237
loadfocus-jmeter-load-testing-integration,237
github-coverage-reporter,236
jsunit,236
jwt-auth,235
cli-commander,234
digitalocean-plugin,234
metadata,234
publish-over-dropbox,234
nested-data-reporting,233
azure-acs,231
devops-portal,229
periodic-reincarnation,229
testcomplete11-xunit,228
config-driven-pipeline,227
gitea-pat-kubernetes-credentials,227
package-parameter,227
platformlabeler,226
rpmsign-plugin,226
jboss,225
vagrant,225
loadrunner-cloud,223
slave-proxy,223
chef-identity,221
upstream-downstream-view,221
jython,220
libvirt-slave,220
was-builder,220
rabbitmq-build-trigger,218
manage-permission,217
buildrotator,216
json-editor-parameter,215
lastfailureversioncolumn,214
block-same-builds,213
dtkit,213
spotinst,212
advanced-installer-msi-builder,209
ircbot,209
electricflow,208
slave-prerequisites,208
virtualbox,208
cccc,207
insightappsec,206
genexus,205
script-realm,205
delete-log-plugin,204
selenium-aes,204
yaml-axis,204
nowsecure-auto-security-test,202
no-agent-job-purge,201
xlrelease-plugin,201
gitblit,200
osf-builder-suite-standalone-sonar-linter,200
additional-identities-plugin,199
git-automerger,198
deploy-dashboard,196
eks-token,196
avatar,194
environment-labels-setter,191
github-release,191
database-sqlite,188
proxmox,188
servicenow-cicd,187
secure-post-script,186
compatibility-action-storage,185
block-build-final-project,183
security-inspector,183
neoload-jenkins-plugin,182
artifact-repository-parameter,181
oracle-cloud-infrastructure-devops,181
qualys-cs,181
codecover,180
contrast-continuous-application-security,180
performance-signature-ui,180
prisma-cloud-iac-scan,177
openshift-k8s-credentials,176
synopsys-polaris,176
working-hours,176
aws-cloudwatch-logs-publisher,174
jobtemplates,173
integrity-plugin,172
multi-branch-priority-sorter,172
leapwork,171
rabbitmq-publisher,171
codebuilder-cloud,167
s3explorer,167
google-cloud-backup,166
opencover,166
trac,166
redgate-sql-ci,165
qftest,164
label-verifier,162
mongodb,162
sicci_for_xcode,162
opentelemetry-agent-metrics,161
pipeline-keepenv-step,161
webhook-eventsource,161
onepassword-secrets,160
proc-cleaner-plugin,158
php-builtin-web-server,157
reportportal,157
graphiteIntegrator,156
pipeline-bamboo,156
