Plugin,Repository,URL,Has_JDK17,Has_JDK21,Has_JDK25,Jenkinsfile_URL,Has_Jenkinsfile
Artifactory Artifact Manager Plugin,jenkinsci/artifactory-artifact-manager-plugin,https://github.com/jenkinsci/artifactory-artifact-manager-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/artifactory-artifact-manager-plugin/main/Jenkinsfile,true
Artifactory Client Api Plugin,jenkinsci/artifactory-client-api-plugin,https://github.com/jenkinsci/artifactory-client-api-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/artifactory-client-api-plugin/main/Jenkinsfile,true
Artifactory Plugin,jenkinsci/artifactory-plugin,https://github.com/jenkinsci/artifactory-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/artifactory-plugin/master/Jenkinsfile,false
Artifactz Plugin,jenkinsci/artifactz-plugin,https://github.com/jenkinsci/artifactz-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/artifactz-plugin/master/Jenkinsfile,true
Asakusa Satellite Plugin,jenkinsci/asakusa-satellite-plugin,https://github.com/jenkinsci/asakusa-satellite-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/asakusa-satellite-plugin/master/Jenkinsfile,false
Ascentialtest Cmd Line Plugin,jenkinsci/ascentialtest-cmd-line-plugin,https://github.com/jenkinsci/ascentialtest-cmd-line-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/ascentialtest-cmd-line-plugin/main/Jenkinsfile,true
Asm Api Plugin,jenkinsci/asm-api-plugin,https://github.com/jenkinsci/asm-api-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/asm-api-plugin/main/Jenkinsfile,true
Assembla Merge Request Builder,jenkinsci/assembla-merge-request-builder,https://github.com/jenkinsci/assembla-merge-request-builder,false,false,false,https://raw.githubusercontent.com/jenkinsci/assembla-merge-request-builder/master/Jenkinsfile,false
Assembla Plugin,jenkinsci/assembla-plugin,https://github.com/jenkinsci/assembla-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/assembla-plugin/master/Jenkinsfile,false
Assertthat Bdd Jira Plugin,jenkinsci/assertthat-bdd-jira-plugin,https://github.com/jenkinsci/assertthat-bdd-jira-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/assertthat-bdd-jira-plugin/master/Jenkinsfile,true
Associated Files Plugin,jenkinsci/associated-files-plugin,https://github.com/jenkinsci/associated-files-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/associated-files-plugin/master/Jenkinsfile,false
Async Http Client Plugin,jenkinsci/async-http-client-plugin,https://github.com/jenkinsci/async-http-client-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/async-http-client-plugin/master/Jenkinsfile,true
Async Job Plugin,jenkinsci/async-job-plugin,https://github.com/jenkinsci/async-job-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/async-job-plugin/master/Jenkinsfile,false
Atlassian Bitbucket Server Integration Plugin,jenkinsci/atlassian-bitbucket-server-integration-plugin,https://github.com/jenkinsci/atlassian-bitbucket-server-integration-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/atlassian-bitbucket-server-integration-plugin/master/Jenkinsfile,true
Atlassian Jira Software Cloud Plugin,jenkinsci/atlassian-jira-software-cloud-plugin,https://github.com/jenkinsci/atlassian-jira-software-cloud-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/atlassian-jira-software-cloud-plugin/main/Jenkinsfile,true
Audit Log Plugin,jenkinsci/audit-log-plugin,https://github.com/jenkinsci/audit-log-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/audit-log-plugin/master/Jenkinsfile,true
Audit Trail Plugin,jenkinsci/audit-trail-plugin,https://github.com/jenkinsci/audit-trail-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/audit-trail-plugin/master/Jenkinsfile,true
Audit2db Plugin,jenkinsci/audit2db-plugin,https://github.com/jenkinsci/audit2db-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/audit2db-plugin/master/Jenkinsfile,false
Authentication Tokens Plugin,jenkinsci/authentication-tokens-plugin,https://github.com/jenkinsci/authentication-tokens-plugin,true,true,true,https://raw.githubusercontent.com/jenkinsci/authentication-tokens-plugin/master/Jenkinsfile,true
Authorize Project Plugin,jenkinsci/authorize-project-plugin,https://github.com/jenkinsci/authorize-project-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/authorize-project-plugin/master/Jenkinsfile,true
Autify Plugin,jenkinsci/autify-plugin,https://github.com/jenkinsci/autify-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/autify-plugin/main/Jenkinsfile,true
Autoaction Step Plugin,jenkinsci/autoaction-step-plugin,https://github.com/jenkinsci/autoaction-step-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/autoaction-step-plugin/master/Jenkinsfile,true
Autocancel Plugin,jenkinsci/autocancel-plugin,https://github.com/jenkinsci/autocancel-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/autocancel-plugin/master/Jenkinsfile,true
Autograding Plugin,jenkinsci/autograding-plugin,https://github.com/jenkinsci/autograding-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/autograding-plugin/main/Jenkinsfile,true
Autonomiq Plugin,jenkinsci/autonomiq-plugin,https://github.com/jenkinsci/autonomiq-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/autonomiq-plugin/main/Jenkinsfile,true
Avatar Plugin,jenkinsci/avatar-plugin,https://github.com/jenkinsci/avatar-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/avatar-plugin/main/Jenkinsfile,true
Aws Batch Plugin,jenkinsci/aws-batch-plugin,https://github.com/jenkinsci/aws-batch-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aws-batch-plugin/master/Jenkinsfile,true
Aws Beanstalk Publisher Plugin,jenkinsci/aws-beanstalk-publisher-plugin,https://github.com/jenkinsci/aws-beanstalk-publisher-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aws-beanstalk-publisher-plugin/master/Jenkinsfile,true
Aws Beanstalk Releaser Plugin,jenkinsci/aws-beanstalk-releaser-plugin,https://github.com/jenkinsci/aws-beanstalk-releaser-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aws-beanstalk-releaser-plugin/master/Jenkinsfile,false
Aws Bucket Credentials Plugin,jenkinsci/aws-bucket-credentials-plugin,https://github.com/jenkinsci/aws-bucket-credentials-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aws-bucket-credentials-plugin/master/Jenkinsfile,false
Aws Cloudwatch Logs Publisher Plugin,jenkinsci/aws-cloudwatch-logs-publisher-plugin,https://github.com/jenkinsci/aws-cloudwatch-logs-publisher-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aws-cloudwatch-logs-publisher-plugin/master/Jenkinsfile,true
Aws Codebuild Plugin,jenkinsci/aws-codebuild-plugin,https://github.com/jenkinsci/aws-codebuild-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aws-codebuild-plugin/master/Jenkinsfile,true
Aws Codecommit Jobs Plugin,jenkinsci/aws-codecommit-jobs-plugin,https://github.com/jenkinsci/aws-codecommit-jobs-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/aws-codecommit-jobs-plugin/develop/Jenkinsfile,true
